Candidate,Political Party,Electoral District,Website
"KATHERINE-ANNE CIRLINCIONE","Ontario NDP/NPD","Milton",""
"SUSAN DOYLE","Green Party of Ontario GPO","Milton",""
"ZEE HAMID","PC Party of Ontario","Milton","http://www.votezee.ca"
"MOHSIN RIZVI","CPO","Milton","https://www.linkedin.com/in/syed-mohsin-rizvi-35717419/"
"JOHN SPINA","New Blue Party","Milton","http://newblueontario.com"
"KRISTINA TESSER DERKSEN","Ontario Liberal Party","Milton","https://kristinatesserderksen.ontarioliberal.ca/"
